Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,2012.7444706006916
2022-08-01 01:00:00,2000.6812276324363
2022-08-01 02:00:00,1985.8457676117205
2022-08-01 03:00:00,1977.8047682750903
2022-08-01 04:00:00,1981.986047651851
2022-08-01 05:00:00,2034.8333952351022
2022-08-01 06:00:00,2033.6870798676175
2022-08-01 07:00:00,2072.481689771604
2022-08-01 08:00:00,2149.1073196705165
2022-08-01 09:00:00,2182.4661357606665
2022-08-01 10:00:00,2176.6459311226236
2022-08-01 11:00:00,2743.2329880968855
2022-08-01 12:00:00,2714.194913079141
2022-08-01 13:00:00,2722.385799543857
2022-08-01 14:00:00,2701.3680730750093
2022-08-01 15:00:00,2709.6447187780655
2022-08-01 16:00:00,2700.689243294598
2022-08-01 17:00:00,2682.6984946847783
2022-08-01 18:00:00,2656.618727844134
2022-08-01 19:00:00,2628.3014679149755
2022-08-01 20:00:00,2628.688604657327
2022-08-01 21:00:00,2621.927358557067
2022-08-01 22:00:00,2247.677679617016
2022-08-01 23:00:00,2230.592388301852
2022-08-02 00:00:00,2131.9446649360953
2022-08-02 01:00:00,2144.3021443903203
2022-08-02 02:00:00,2165.7900176717526
2022-08-02 03:00:00,2150.422481697979
2022-08-02 04:00:00,2124.121408721211
2022-08-02 05:00:00,2125.3890647074263
2022-08-02 06:00:00,2171.3532608103465
2022-08-02 07:00:00,2200.9198943544334
2022-08-02 08:00:00,2225.6835717996955
2022-08-02 09:00:00,2183.0648003321917
2022-08-02 10:00:00,2151.7088978642896
2022-08-02 11:00:00,2399.382408754048
2022-08-02 12:00:00,2398.0542602986784
2022-08-02 13:00:00,2397.709062936659
2022-08-02 14:00:00,2394.512898203473
2022-08-02 15:00:00,2393.3389768124275
2022-08-02 16:00:00,2409.9913308614637
2022-08-02 17:00:00,2407.075596946312
2022-08-02 18:00:00,2401.582656615164
2022-08-02 19:00:00,2413.294674144308
2022-08-02 20:00:00,2441.3290525727507
2022-08-02 21:00:00,2453.4065095772016
2022-08-02 22:00:00,2060.5074561054453
2022-08-02 23:00:00,2072.8081080760917
2022-08-03 00:00:00,2118.668310516695
2022-08-03 01:00:00,2118.759866068658
2022-08-03 02:00:00,2125.876609614356
2022-08-03 03:00:00,2135.311489638093
2022-08-03 04:00:00,2128.9188412773674
2022-08-03 05:00:00,2127.461960484615
2022-08-03 06:00:00,2120.6069116471626
